LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
NK 9955 .T69 C3,6342,"Hunkin, Tim","Hunkin, Tim;Way, Katherine;Alexander, Gary",8028,Video,Learning Commons,General,,Cabaret Mechanical Theatre,,,"1 videocassette (PAL) (45 min.) : sd., col. ; 1/2 in.",,VHS,,,,,NK 9955 .T69 C3,,"London, England",1991,1991,Cabaret Mechanical Theatre,,Lost,Mechanical toys - Design and construction;Mechanical dolls;Video recording,Cabaret Mechanical video a moving catalogue,Cabaret mechanical video : a moving catalog featuring the machines and their makers.
TD 220 .C3 1993,6213,"Reisner, Marc","Reisner, Marc",7899,Monograph,Learning Commons,General,,,,,"viii, 582 p., [8] p. of plates : ill., maps ; 22 cm.",Rev. and updated,text,,0140178244 (pbk.) :,9.78E+12,140178244,HD1739.A17 R45 1993,93173272,"New York, N.Y., U.S.A.",1993,1993,Penguin Books,,Available,Irrigation - Government policy - West (U.S.) - History;Water resources development - Government policy - West (U.S.) - History;Political corruption - West (U.S.) - History;Political corruption;Water resources development;Irrigation,Cadillac desert : the American West and its disappearing water,
Q 182.3 .F743a 1988,4084,"Hillen, Judith","Hillen, Judith;Wiebe, Arthur J;Youngs, Dave;Mercier, Sheryl",4084,Monograph,Learning Commons,General,,AIMS Education Foundation,,,1 v. (various pagings) : ill. ; 28 cm.,,text,,,,,Q 182.3 .F743a 1988,,"Fresno, Calif.",c1988,1988,AIMS Education Foundation,,Available,"Mathematics - Problems, exercises, etc;Mathematics - Study and teaching (Primary);Science - Experiments;Science - Study and teaching (Elementary);Interdisciplinary approach in education;Education, Bilingual;Education, Preschool - Experiments",Caete de gusto hacia el Otoño con las matemáticas y ciencias,Fall into math and science. Spanish.;AIMS.
QA 303 .C643 1991,5906,"Cohen, Donald","Cohen, Donald",7480,Monograph,Learning Commons,General,,,,,"iv, 324 p. : ill. ; 28 cm.",,text,,0962167452 (pbk.) :,9.78E+12,962167452,515 COH,,"Champaign, IL",c1991,1991,"D. Cohen, The Mathman",,Available,"Calculus - Problems, exercises, etc;Calculus",Calculus by and for young people : worksheets,
QA 303 .T45 1998,7566,"Thompson, Silvanus Phillips","Thompson, Silvanus Phillips;Gardner, Martin",12830,Monograph,Learning Commons,General,,,,,"vi, 330 p. : ill. ; 22 cm.","Newly rev., updated, expanded, and annotated for its 1998 ed.",text,TI Classroom,312185480,9.78E+12,312185480,QA 303 .T45 1998,98010433,New York,1998,1998,St. Martin's Press,,Lost,Calculus,Calculus made easy : being a very-simplest introduction to those beautiful methods of reckoning which are generally called by the terrifying names of the differential calculus and the integral calculus,
R 111 .G56 1995,6891,"Ghosh, Amitav","Ghosh, Amitav",10180,Monograph,Learning Commons,General,,,,,311 p. ; 22 cm.,1st ed.,text,,0380975858 (hardcover),9.78E+12,380975858,PR9499.3.G536 C35 1995,97003154,New York,c1995,1995,Avon Books,,Available,Predestination - Fiction;Epidemiology - Fiction;Viruses - Fiction;Calcutta (India) - Fiction,"The Calcutta chromosome : a novel of fevers, delirium & discovery",
QB 213 .A64 1985,1826,"Apfel, Necia H","Apfel, Necia H",925,Monograph,Learning Commons,General,,,,,88 p. : ill. ; 23 cm.,,text,,531100340,9.78E+12,531100340,QB 213 .A64 1985,,New York,1985,1985,F. Watts,,Available,Calendars - Juvenile literature;Calendars;Time measurements;Astronomical observatories,Calendars,
QL 475 .C3 P68 1979,7747,"Powell, Jerry A","Powell, Jerry A;Hogue, Charles Leonard",12504,Monograph,Learning Commons,General,,,,,"x, 388 p., [8] leaves of plates : ill. (some col.) ; 21 cm.",,text,,0520038061 :,9.78E+12,520038061,QL475.C3 P68,78062876,Berkeley,c1979,1979,University of California Press,California natural history guides; 44,Available,Insects - California,California insects,
QE 26.2 .C24 2003,17582,California Science Teachers Association,,17582,Monograph,Learning Commons,General,,California Science Teachers Association,,,p.144 ; v. ; 22 cm.,,text,Learning Commons,,,,QE 26.2 .C24 2003,,"Sacramento, CA",c2000-,2000,California Science Teachers Association,,Available,Science - Study and teaching - Periodicals. - California;Ecology;Climatic changes;Geology;Earth sciences;Environmental sciences;Physical geology;Oceanography;Atmosphere,California journal of science education. special issue,Earth system science.
LB 1585.3 .C35 1988,1553,"Sly, Carolie","Sly, Carolie;Comnes, Leslie;Cuomo, Celia",549,Monograph,Learning Commons,Activity,,,,59:39.3,"xi, 323 p. : ill. ; 28 cm.",,text,,0880670002 (pbk.) :,9.78E+12,880670002,LB 1585.3 .C35 1988,87035850,"Hayward, Calif.",c1988,1988,Alameda County Office of Education,,Available,Environmental education - California;Nature study - Study and teaching (Elementary);Human ecology - Study and teaching (Elementary),The California State environmental education guide : a curriculum guide for kindergarten through sixth grade,Environmental education guide
QB 121 .C69 1993,6395,"Pasachoff, Jay M","Pasachoff, Jay M;Espenak, Fred;Covington, Michael A",8611,Monograph,Learning Commons,General,,,,,"viii, 135 p. : ill. (some col.), maps ; 25 cm.",,text,,0521456517 (pbk.),9.78E+12,521456517,QB 121 .C69 1993,93013054,"New York, NY, USA",1993,1993,Cambridge University Press,,Available,Astronomical photography;Solar eclipses,The Cambridge eclipse photography guide : how and where to observe and photograph solar and lunar eclipses,
